Method,Avg MSE,Avg PSNR,Avg SSIM,Estimated Compression Ratio,Accuracy,Processing Time (s)
Original,0.0,inf,1.0,1.0,0.8514,0.0
Uniform Quantization q=0.10,0.0004622990672942251,33.49048614501953,0.9567127269735453,3.0032959039135285,0.8498,4.755044937133789
Uniform Quantization q=0.20,0.001595345209352672,28.127683639526367,0.9041949390535435,4.684116353535761,0.8474,4.647378921508789
Adaptive Quantization A,0.0003661015653051436,35.17662048339844,0.9621329068230942,2.589404724695726,0.8518,10.977501630783081
Adaptive Quantization B,0.0006531727849505842,32.42573928833008,0.9435392340897806,3.0979117779919267,0.8486,10.946285963058472
